observer,architecture,seed,image_id,AUC,accuracy,sensitivity,specificity,precision,F1,IoU,thin_FN,far_FP,recovered,partial,missed,length_weighted_coverage,long_branch_coverage
OBSERVER_1,Standard U-Net,42,08,0.9765051329297231,0.9548142491831226,0.7580798982727561,0.9830961170323504,0.8657173974426203,0.8083311363037173,0.6783185840707965,4993,41,80,16,48,0.590843023255814,0.5622317596566524
OBSERVER_1,Standard U-Net,42,09,0.9769685599011935,0.9597733462180444,0.7886312640239341,0.982550268763687,0.8574449052614459,0.8215997194841625,0.6972161608146532,4267,41,93,21,56,0.6178257933828494,0.9904761904761905
OBSERVER_1,Standard U-Net,42,10,0.977131946985044,0.9561258423803072,0.8191661756040071,0.9747027675092417,0.8145462535706438,0.8168496823239928,0.6904022845790911,3967,93,113,33,69,0.5753542292829541,0.5226415094339623
OBSERVER_1,Standard U-Net,42,11,0.9758008691516301,0.950323509529704,0.8393999932279146,0.9668450330591434,0.790396633082515,0.8141616171568385,0.6865704710997867,3909,241,146,25,68,0.6736170212765957,0.7725118483412322
OBSERVER_1,Standard U-Net,42,12,0.9848259394609494,0.9597987741921311,0.8595647595647595,0.9741405720312383,0.8262703286321614,0.842588769611891,0.7279942923392491,2983,100,128,13,31,0.7742574257425743,0.6347305389221557
OBSERVER_1,Standard U-Net,42,13,0.9782465014725317,0.9528351648351648,0.8157013518541486,0.975487585020077,0.8460796295105165,0.8306128248034603,0.7102975322641611,4428,117,105,22,52,0.6451418225709112,0.5130890052356021
OBSERVER_1,Standard U-Net,42,14,0.9849180774341474,0.9588318117013646,0.8699635762832789,0.9707112130627488,0.7988139158018136,0.8328719847575223,0.7136080823014846,2453,393,126,20,16,0.8351863963374755,0.9014084507042254
OBSERVER_1,Standard U-Net,42,15,0.9843106076153137,0.9602012366201395,0.868753176351008,0.9707972244849888,0.7751284764207981,0.8192747024522725,0.693874099380983,2439,490,104,11,25,0.8017241379310345,0.8619528619528619
OBSERVER_1,Standard U-Net,42,16,0.9855603558953233,0.9575746396479485,0.855862508811386,0.972885706634058,0.8261348540323364,0.8407359778415273,0.725232528372728,3941,484,112,11,11,0.8664772727272727,0.7692307692307693
OBSERVER_1,Standard U-Net,42,17,0.9819647496276213,0.9563404225177524,0.808480844493914,0.9771351239439892,0.8325753374006286,0.820351209559895,0.6954198709039809,4720,165,90,9,16,0.8246606334841629,1.0
OBSERVER_1,Standard U-Net,42,18,0.985412893926359,0.9554944379030983,0.8884256425948592,0.9641977882343598,0.763042049934297,0.8209741269616853,0.696315615912702,2741,305,110,7,7,0.9128888888888889,0.9157894736842105
OBSERVER_1,Standard U-Net,42,19,0.9899033519593499,0.9608730451914789,0.928417437059232,0.9653136420675829,0.785506708712051,0.8510039689849781,0.7406500510129719,1847,344,108,14,4,0.8926829268292683,0.979381443298969
OBSERVER_1,Standard U-Net,42,20,0.9871358632773645,0.9575031974789362,0.894205407187603,0.9650593577652158,0.7533942150769124,0.8177826357348812,0.6917362749473953,2373,669,126,5,6,0.9309236947791165,0.8790697674418605
OBSERVER_1,Standard U-Net,43,01,0.9862303239598856,0.9536004135896282,0.8998368013055895,0.9617110763470367,0.77999469511656,0.8356408758663152,0.7176831087127478,2406,104,144,9,15,0.8794416243654822,0.8672566371681416
OBSERVER_1,Standard U-Net,43,02,0.986979814685831,0.957105474771977,0.8730243454022477,0.9719226186743588,0.8456655368529902,0.8591271867750266,0.7530437896459996,2670,181,107,13,25,0.7828746177370031,1.0
OBSERVER_1,Standard U-Net,43,03,0.9773626276599335,0.9484465748448347,0.7630298607310102,0.980066479638666,0.8671596917441338,0.8117690827038481,0.6831745167438061,4507,101,79,13,47,0.6,0.6694560669456067
OBSERVER_1,Standard U-Net,43,04,0.9759610921466182,0.9576978341396538,0.8221336057739841,0.9785533934311529,0.8550178228681108,0.8382533308691342,0.7215457148642004,3723,45,111,15,62,0.6077968103957472,0.5419847328244275
OBSERVER_1,Standard U-Net,43,05,0.972848735210501,0.9533626418027783,0.7715386109133278,0.9819101095048146,0.8700682506660827,0.8178465444190953,0.6918277323117998,5336,57,90,14,63,0.5864197530864198,0.6766467065868264
OBSERVER_1,Standard U-Net,43,06,0.9726741723279432,0.9500481320797014,0.7454913564865285,0.9836586589148081,0.8822943930401445,0.8081442463533225,0.6780554139044705,5879,102,81,22,83,0.5094685400122174,0.6224899598393574
OBSERVER_1,Standard U-Net,43,07,0.9769423561064097,0.9561480180081257,0.7775013269639066,0.9834101989054882,0.8773302388260837,0.8244046572162229,0.7012656712845217,5004,36,89,18,58,0.5618556701030928,0.3592592592592593
OBSERVER_1,Standard U-Net,43,08,0.9757015189337824,0.9538597457025145,0.7544064144678747,0.9825324850078959,0.8612791354141464,0.8043081210340997,0.6726717268747441,4828,104,82,17,45,0.6322674418604651,0.7381974248927039
OBSERVER_1,Standard U-Net,43,09,0.9768374897684563,0.9590837213388386,0.7694839192221391,0.9843171411507068,0.8671977072533401,0.8154239403966949,0.6883677361078585,4501,25,86,22,62,0.5941931127616475,0.9904761904761905
OBSERVER_1,Standard U-Net,43,10,0.9779258313216397,0.9563193919025919,0.818429581614614,0.9750224797682087,0.8163250312247446,0.8173759517416412,0.6911545160487683,3844,119,125,26,64,0.6290253327608416,0.6037735849056604
